63
minindex
9
maxindex
47
tileid,xindex,yindex ( first intance must contain one of the leftmost tile)(last instance must contain one of the rightmost tile)
0,9,24
1,9,23
0,9,22
1,9,21
0,9,20
1,9,19
0,9,18
1,10,17
0,10,16
1,10,15
0,10,14
1,10,13
0,9,12
1,9,11
1,9,10
1,9,9
1,9,7
0,11,12
0,12,17
1,13,20
0,15,21
0,16,18
2,17,18
3,18,19
1,20,12
1,21,13
1,22,12
1,23,12
1,23,20
0,25,21
0,26,18
0,27,17
0,28,19
0,29,13
1,30,15
0,31,16
0,32,14
1,33,26
0,34,21
2,35,15
1,36,16
3,38,19
0,39,12
1,40,13
0,41,12
0,42,17
1,43,20
0,45,21
2,46,18
0,47,24
1,47,23
0,47,22
1,47,21
0,47,20
1,47,19
0,47,18
1,47,17
0,47,16
1,47,15
0,47,14
1,47,13
0,47,12
1,47,11
